1_predict,2_predict,3_predict
0.66418713,0.7170172,0.6938134
0.6656384,0.7084563,0.69194114
0.66462207,0.6783242,0.675608
0.66352737,0.6774107,0.6683277
0.66259867,0.678392,0.66595757
0.65949684,0.67766213,0.665502
0.6579972,0.6742716,0.6662726
0.6575651,0.6802712,0.66603076
0.6579972,0.68762535,0.6714043
0.6551497,0.6733851,0.6663275
0.65527534,0.6725582,0.66590214
0.64885855,0.67319846,0.6654816
0.6451097,0.6739394,0.6699127
0.6437901,0.67103845,0.67354995
0.6459754,0.6722062,0.6727586
0.645712,0.6648248,0.6850205
0.6305938,0.66085964,0.6662121
0.6221987,0.6582714,0.654003
0.6280035,0.65581363,0.64721817
0.6294832,0.66592354,0.64455456
0.64545166,0.6583671,0.6484627
0.6516219,0.6741217,0.6516786
0.6516867,0.6741217,0.6585443
0.6513405,0.67045665,0.66630423
0.6560159,0.6785453,0.66718477
0.66044265,0.68213236,0.6738766
0.6598937,0.67852855,0.67374593
0.660266,0.67800474,0.6688525
0.6630943,0.6759797,0.6708683
0.6545636,0.67533135,0.6559475
0.6579204,0.6666427,0.65819424
0.6587997,0.6658306,0.6503436
0.6533757,0.66738904,0.65051544
0.65440774,0.6673012,0.649857
0.65286773,0.66696227,0.6504464
0.6524414,0.6666367,0.6519807
0.6530903,0.66680866,0.6571703
0.6609324,0.6666367,0.6560212
0.6595382,0.66741204,0.6581557
0.65971565,0.67641026,0.6587338
0.6594704,0.6730721,0.6573466
0.661519,0.6772185,0.6720534
0.6630398,0.67870307,0.6733788
0.6612677,0.6854355,0.67148656
0.66169775,0.6845791,0.6724783
0.6607657,0.6803941,0.67232925
0.66385466,0.6750877,0.67172456
0.66849285,0.6758753,0.6740684
0.66816735,0.6795266,0.67036235
0.6650477,0.6781425,0.6699581
0.6679738,0.6859027,0.6620155
0.6679738,0.67683965,0.6825396
0.6679738,0.6766565,0.68359196
0.66768515,0.6765526,0.67756736
0.6783664,0.6756606,0.6753638
0.6783664,0.6781412,0.67158663
0.66717285,0.6776198,0.67097694
0.66520596,0.6663588,0.6695317
0.6505908,0.6656541,0.64963657
0.630376,0.6421787,0.64385796
0.6299762,0.64312553,0.6439944
0.64305955,0.6434256,0.63645774
0.64526665,0.6412414,0.6356972
0.6689886,0.6434376,0.6366573
0.645186,0.64305717,0.64361775
0.645186,0.6438004,0.6470067
0.64749116,0.6410858,0.64638686
0.65045244,0.6631843,0.64534277
0.65234315,0.6610557,0.6538051
0.6644796,0.6678722,0.6523908
0.6627202,0.6646148,0.6523317
0.6666243,0.66576624,0.6540201
0.6666243,0.660216,0.65239805
0.66623926,0.66502565,0.6572491
0.6654816,0.6618903,0.66378707
0.6639636,0.6605231,0.6505544
0.6494229,0.66177523,0.6502538
0.64711595,0.66270375,0.6498481
0.6461279,0.66273403,0.64845204
0.6464616,0.6675324,0.6528336
0.65813565,0.65812194,0.6711424
0.6563056,0.66463184,0.65583825
0.6644796,0.6683165,0.66534966
0.6666243,0.6729503,0.66277045
0.6641828,0.67083704,0.6690845
0.6657109,0.6702544,0.66117924
0.66677034,0.66886,0.64726347
0.6670517,0.6707549,0.6519929
0.66715276,0.66505075,0.6450727
0.66176313,0.643866,0.6412533
0.6601474,0.6462956,0.64344215
0.65670544,0.644307,0.6454107
0.6569314,0.6437644,0.64891374
0.649724,0.6430465,0.6450344
0.65531415,0.64308286,0.6459887
0.65526056,0.6415111,0.6470764
0.6537711,0.6394048,0.6457675
0.64641684,0.64270717,0.63829535
0.6449097,0.6412175,0.6390911
